Accuracy,Precision,Recall
0.9377306822240743,0.93926481259644,0.9407112382532654
0.9352303845695916,0.937170093181902,0.9378393361413185
0.936301940707227,0.9371924028153704,0.9398846380419834
0.9370088116218147,0.9389490954621993,0.9397800433841208
0.9352226720647774,0.9372710103565678,0.9375121013794933
0.943200762086211,0.9444477874172083,0.9454667174041582
0.9339128363896165,0.9356000830063751,0.9376691401632873
0.9359371278875923,0.9378890205542888,0.9388022872510149
0.9335556084782091,0.9343988985800576,0.9375663498218909
0.9328411526553941,0.9341639063662983,0.9368880277927005
0.9377232674446296,0.9387145405991362,0.9412725344765792
0.9311740890688259,0.933194049678695,0.9353569649452602
0.9345082162419623,0.9369947441651887,0.9372596731666007
0.9326030007144558,0.9339194700559165,0.9366995841995842
0.9377232674446296,0.9394004906470408,0.9406154145771459
