Accuracy,Precision,Recall
0.9994042891183479,0.7495835646862854,0.75
1.0,1.0,1.0
0.869142176330421,0.3456415743444566,0.4
0.9986100079428117,0.7490405265351041,0.7498550724637681
1.0,1.0,1.0
0.9567116759332804,0.7214659685863875,0.6657348242811502
0.999801429706116,0.9777777777777779,0.9998850574712644
0.9992057188244639,0.7494347088750707,0.75
0.8011916583912612,0.45664844723171616,0.5701590698691299
0.8560079443892751,0.5054576373667901,0.514200477326969
0.8458788480635551,0.5235660117300919,0.42587459685069246
0.9084409136047666,0.5477915222778916,0.4514003294892916
1.0,1.0,1.0
0.9990069513406157,0.5994391475042063,0.6
0.9996027805362463,0.75,0.8
