Accuracy,Precision,Recall
0.9373333333333334,0.9529707436403182,0.9337077599522371
0.9995,0.9994900601610223,0.9995005498533724
0.9923333333333333,0.9927067566866659,0.9924319059429573
0.9995,0.999485596707819,0.9995052753204927
0.997,0.997053014948856,0.997084584540692
0.9881666666666666,0.988627879938938,0.9885233392104942
0.8453333333333334,0.9120612507406446,0.8424039597106128
0.944,0.9575644707075416,0.9422168240938982
0.981,0.9814889487634789,0.9814753235942432
0.9891666666666666,0.9895803412196575,0.9896727041626946
0.9413333333333334,0.9555970875796277,0.939842666554679
0.999,0.9990138067061144,0.9990291262135922
0.9413333333333334,0.9567639124443407,0.9406276358147228
0.9879979996666111,0.9885148064176402,0.9879704032620443
0.9259876646107684,0.9444216779160333,0.9262945504756686
