Accuracy,Precision,Recall
0.9774,0.5,0.4887
0.9996,0.5,0.4998
0.9608,0.5,0.4804
0.9986,0.5,0.4993
0.999,0.5,0.4995
0.9938,0.5,0.4969
0.9992,0.5,0.4996
0.6126,0.633391308402411,0.6126
0.9966,0.5,0.4983
0.8874,0.5,0.4437
0.8866,0.5,0.4433
0.8506,0.5,0.4253
0.9872,0.5,0.4936
0.896,0.5,0.448
0.8834,0.5,0.4417
