Accuracy,Precision,Recall
0.9998711464742454,0.7666100254885302,0.725
0.9997100795670522,0.5998301726577979,0.6
0.9996134394227362,0.5993925897261626,0.5999622285174693
0.9996778661856135,0.599811320754717,0.6
0.9995812260412975,0.5998169990179681,0.599943342776204
0.9996134394227362,0.5993928583084872,0.5999622249504203
0.9996778661856135,0.4995943872838406,0.5
0.9996778661856135,0.4996770562080126,0.5
0.9997100702274337,0.5995321290987653,0.6
0.9998711423233039,0.7666100254885302,0.725
