Accuracy,Precision,Recall
0.9663438641054135,0.9690719352417951,0.9643599886089973
0.958167963168757,0.9611456168330919,0.9559846259449714
0.956262898872837,0.9600997649688543,0.9537170617240148
0.9740414384377233,0.9754423756666372,0.9727861130300155
0.9701516234023974,0.9707031098200198,0.9693905303661401
0.9707866952448996,0.9722032279055777,0.9694881585125488
0.9539572914185918,0.9580915312003941,0.9512763110324086
0.9625307612923713,0.9648800352477116,0.9606741314058387
0.9566563467492261,0.9614112756512505,0.9537897830580757
0.9636421370167501,0.9645430229401688,0.9625740113544992
