Accuracy,Precision,Recall
0.9989333333333333,0.9989356040447046,0.9989333333333333
0.9990666666666667,0.9990684056428001,0.9990666666666667
0.9984,0.998402268284101,0.9984
0.9986666666666667,0.9986668085096699,0.9986666666666666
0.9992,0.9992012779552716,0.9992
0.9989333333333333,0.9989346106059365,0.9989333333333333
0.9997333333333334,0.9997333333333334,0.9997333333333334
0.9988,0.9988008867571321,0.9987999999999999
0.9984,0.9984051036682615,0.9984
0.9989333333333333,0.9989356040447046,0.9989333333333333
