Accuracy,Precision,Recall
0.597,0.5,0.2985
0.8942,0.5,0.4471
0.9878,0.5,0.4939
1.0,1.0,1.0
0.9996,0.5,0.4998
0.9996,0.5,0.4998
1.0,1.0,1.0
0.7614,0.786576602824913,0.7614
0.9824,0.5,0.4912
0.8324,0.5,0.4162
0.999,0.5,0.4995
0.8604,0.5,0.4302
0.893,0.5,0.4465
0.9906,0.5,0.4953
0.8844,0.5,0.4422
